RSUJ2;NAZRSUJ2;RSUJ3;ID_REGION;NAZKRJ = NAZRSUJ3;DISTRICT;LSUJ1;NAZOKS = NAZLSUJ1;LSUJ2;MUNICIPALITY;NAZZUJ = NAZLSUJ2;CADASTRE;NAZUTJ;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529346;529346;Bratislava-Nové Mesto;804690;Nové Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529354;529354;Bratislava-Raèa;805866;Raèa;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;103;SK0103;Bratislava III;SK0103529362;529362;Bratislava-Vajnory;805700;Vajnory;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;104;SK0104;Bratislava IV;SK0104529401;529401;Bratislava-Devín;805301;Devín;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;104;SK0104;Bratislava IV;SK0104529401;529401;Bratislava-Devín;805301;Devín;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;104;SK0104;Bratislava IV;SK0104529401;529401;Bratislava-Devín;805301;Devín;;
